,url,date
0,/markets/2023/04/24/bitcoin-posts-biggest-weekly-loss-since-november-as-usd-liquidity-declines-us-debt-ceiling-fears-return/,2023-04-24
1,/markets/2023/04/24/first-mover-asia-whats-next-after-bitcoins-retreat/,2023-04-24
2,/business/2023/04/21/ether-erases-all-gains-from-shanghai-rally-as-bitcoin-crypto-prices-fall/,2023-04-21
3,/tech/2023/04/21/solanas-annual-carbon-footprint-equals-8-flights-from-london-to-new-york/,2023-04-21
4,/markets/2023/04/21/first-mover-americas-bitcoin-falls-to-28k/,2023-04-21
5,/markets/2023/04/21/bitcoins-dominance-rate-runs-into-familiar-resistance-hints-at-altcoin-season-ahead/,2023-04-21
6,/markets/2023/04/21/first-mover-asia-bitcoin-struggles-as-us-regulators-fumble-analyst/,2023-04-21
7,/markets/2023/04/20/bitcoin-tumbles-below-28k-on-coinbase-before-rallying/,2023-04-20
8,/markets/2023/04/20/crypto-stocks-post-large-losses-as-bitcoin-price-slides-towards-28k/,2023-04-20
9,/markets/2023/04/20/bitcoins-move-below-20-dma-possible-short-term-bearish-signal-analysts-say/,2023-04-20
10,/tech/2023/04/20/crypto-trading-firm-wintermute-plugs-into-coinroutes-smart-order-routing-system/,2023-04-20
11,/markets/2023/04/20/first-mover-americas-landmark-crypto-laws-pass-in-europe/,2023-04-20
12,/markets/2023/04/20/crypto-options-exchange-deribit-announces-zero-fee-spot-market/,2023-04-20
13,/markets/2023/04/20/first-mover-asia-were-still-missing-good-web3-games-bitcoin-swoons-below-29k/,2023-04-20
14,/tech/2023/04/19/trezor-model-t-gets-bitcoin-privacy-upgrade-with-new-coinjoin-feature/,2023-04-19
15,/business/2023/04/19/tesla-made-no-changes-to-bitcoin-holdings-in-first-quarter/,2023-04-19
16,/markets/2023/04/19/bitcoin-hovers-near-293k-after-binance-sell-order-uk-inflation-data/,2023-04-19
17,/tech/2023/04/19/bitcoin-core-developer-dhruvkaran-mehta-steps-away-teases-new-startup-idea/,2023-04-19
18,/markets/2023/04/19/first-mover-americas-bitcoin-slides-toward-29k/,2023-04-19
19,/markets/2023/04/19/bitcoin-drops-1000-in-15-minutes-longs-make-98-of-liquidations/,2023-04-19
20,/markets/2023/04/19/microstrategys-bitcoin-holding-doesnt-necessarily-pose-a-concentration-risk-bernstein/,2023-04-19
21,/markets/2023/04/19/first-mover-asia-bitcoin-rally-stalls-above-30k-ether-hits-21k/,2023-04-19
22,/consensus-magazine/2023/04/18/bitcoins-store-of-value-narrative-is-real-but-not-a-price-mover/,2023-04-18
23,/business/2023/04/18/bitcoin-financial-services-firm-unchained-capital-raises-60m/,2023-04-18
24,/markets/2023/04/18/first-mover-americas-bitcoin-regains-30k-as-alts-heat-up/,2023-04-18
25,/markets/2023/04/18/lesser-known-bitcoin-indicator-flips-positive-after-18-months/,2023-04-18
26,/markets/2023/04/18/the-biggest-crypto-bull-cycle-is-upon-us-bernstein/,2023-04-18
27,/markets/2023/04/18/first-mover-asia-bitcoin-settles-in-below-295k-as-appeal-of-riskier-assets-lessens/,2023-04-18
28,/markets/2023/04/18/bitcoin-surge-parallels-price-movement-in-2019-analyst/,2023-04-18
29,/tech/2023/04/18/microstrategys-saylor-integrates-bitcoin-lightning-address-into-corporate-email/,2023-04-18
30,/markets/2023/04/17/bitcoin-sinks-below-30k-amid-dollar-jump-mixed-q1-earnings/,2023-04-17
31,/business/2023/04/17/crypto-investments-see-positive-flows-for-fourth-consecutive-week-coinshares/,2023-04-17
32,/business/2023/04/17/cme-to-add-daily-expiries-on-bitcoin-and-ether-futures-options-contracts/,2023-04-17
33,/markets/2023/04/17/bitcoin-ether-see-bull-breather-as-higher-bond-yields-support-dollar-defi-market-dominance-steady/,2023-04-17
34,/markets/2023/04/17/first-mover-americas-ether-holds-above-2k/,2023-04-17
35,/consensus-magazine/2023/04/17/fedi-community-based-custody-solution/,2023-04-17
36,/consensus-magazine/2023/04/17/send-globally-crypto-remittance-service/,2023-04-17
37,/consensus-magazine/2023/04/17/gridless-mining-extends-power-in-africa/,2023-04-17
38,/consensus-magazine/2023/04/17/machankura-bitcoin-wallet-without-smartphones-internet/,2023-04-17
39,/consensus-magazine/2023/04/17/bitcoin-beach-circular-economy/,2023-04-17
40,/markets/2023/04/17/bitcoin-could-peak-at-45k-in-may-analyst-says/,2023-04-17
41,/markets/2023/04/17/first-mover-asia-ether-price-hits-fresh-11-month-high/,2023-04-17
42,/markets/2023/04/14/bitcoin-is-the-boring-old-grandpa-right-now-compared-to-ether-dexterity-capital-manager-partner/,2023-04-14
43,/markets/2023/04/14/bitcoin-holds-steady-near-305k-ether-circles-around-21k/,2023-04-14
44,/markets/2023/04/14/bitcoin-ether-turn-upward-in-a-busy-week-of-ethereum-and-inflation-news/,2023-04-14
45,/tech/2023/04/14/onramp-launches-first-spot-bitcoin-trust-with-multi-party-custody/,2023-04-14
46,/markets/2023/04/14/first-mover-americas-ether-steals-the-show-alts-follow-suit/,2023-04-14
47,/markets/2023/04/14/g4-central-bank-balance-sheets-look-to-have-troughed/,2023-04-14
48,/markets/2023/04/14/first-mover-asia-ether-climbs-over-21k-to-further-its-post-ethereum-shanghai-upgrade-surge/,2023-04-14
49,/markets/2023/04/13/ethers-post-shanghai-rally-knocks-bitcoin-dominance-from-21-month-high/,2023-04-13
50,/markets/2023/04/13/ether-price-swings-upward-after-ethereum-upgrade-but-what-about-the-future/,2023-04-13
51,/markets/2023/04/13/ether-jumps-above-2k-a-day-after-ethereum-shanghai-upgrade/,2023-04-13
52,/markets/2023/04/13/bitcoin-miner-stocks-continue-torrid-run-as-30k-level-holds/,2023-04-13
